StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,comp_1_AV,comp_2_AV,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp_1_HDV,comp_2_HDV,ai_familiarity_1,insurance_fmlrty_1,mot_insurance_fmlrty_1,prod_liab_fmlrty_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,superhuman_1,order,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Which of the following was true about Vehicle B (the blue vehicle)?,Which of the following was true about the video?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The driver of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree)

How much do you agree: Vehicle B should have been able to avoid this accident. - 1",Which of the following was true about Vehicle B (the blue vehicle)?,Which of the following was true about the video?,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",I am very familiar with how the insurance industry works.,I am very familiar with how the motor insurance industry works.,I am very familiar with how product liability claims work.,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,"Please rate the extent to which you agree with the following statement: Autonomous robocars should be more aware, more attentive and more reactive than human drivers. - 1",order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID115_1""}","{""ImportId"":""order""}","{""ImportId"":""BL_9v5jJo3sYsvnnW6_DO""}","{""ImportId"":""BL_43jZUoIM0dGNdPw_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
2023-05-31 21:44:35,2023-05-31 21:48:19,0,216.122.240.29,100,223,1,2023-05-31 21:48:19,R_1kFGZcmDdanBFsw,,,,,36.7314,-88.6501,anonymous,EN,1,2,2,1.185,17.046,17.753,5,2.342,7.678,10.715,6,90,30,95,45,40,1,1,2.143,10.186,10.809,5,2.326,5.454,10.568,6,90,30,10,90,30,35,2,1,30,10,10,10,1,,31,4,,,1,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:45:11,2023-05-31 21:50:40,0,73.98.95.116,100,329,1,2023-05-31 21:50:41,R_3p5qTtpFLKAxkw0,,,,,32.2879,-106.7591,anonymous,EN,1,2,2,0,0,11.35,0,0,0,11.073,0,100,0,0,0,0,1,1,0,0,24.419,0,0,0,12.166,0,0,0,0,100,0,0,2,1,50,91,91,91,1,,71,7,,,0,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:44:33,2023-05-31 21:51:26,0,71.80.205.190,100,413,1,2023-05-31 21:51:27,R_3Ocg6D3NyCgoixi,,,,,43.2294,-123.2392,anonymous,EN,1,2,2,0,0,33.294,0,0,0,11.4,0,100,0,100,90,0,1,1,0,0,14.709,0,0,0,11.831,0,100,0,0,100,90,0,2,1,10,20,20,20,2,,50,3,,,1,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:48:13,2023-05-31 21:52:06,0,73.42.143.20,100,233,1,2023-05-31 21:52:07,R_3rHZBW11V0tTB69,,,,,48.0589,-122.1579,anonymous,EN,1,2,2,0,0,11.649,0,8,8,13.992,1,100,10,100,7,6,1,1,6.15,6.15,14.711,1,0,0,11.578,0,100,0,10,100,0,0,2,1,10,20,27,27,2,,36,4,,,0,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:47:14,2023-05-31 21:52:18,0,173.47.218.32,100,304,1,2023-05-31 21:52:18,R_VX96pR81KE36ddD,,,,,37.1461,-94.4753,anonymous,EN,1,2,2,5.95,27.178,27.669,3,3.369,3.369,15.229,1,89,29,95,50,23,1,1,0,0,15.203,0,12.421,12.941,13.446,2,98,19,24,96,50,30,2,1,29,25,16,8,2,,44,4,,,1,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:47:13,2023-05-31 21:54:02,0,76.97.137.20,100,409,1,2023-05-31 21:54:03,R_1rcAPP1UBEPb48j,,,,,33.878,-83.8923,anonymous,EN,1,2,2,3.001,12.329,13.401,6,4.277,5.25,11.301,3,94,70,95,5,5,1,1,5.779,25.641,27.188,6,10.883,11.266,12.52,3,95,5,17,94,65,25,2,1,80,20,5,16,2,,45,4,,,0,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:49:28,2023-05-31 21:54:16,0,23.93.215.143,100,287,1,2023-05-31 21:54:17,R_3NEOqAnMAa9twah,,,,,37.8043,-122.2156,anonymous,EN,1,2,2,0,0,11.538,0,0,0,10.885,0,100,0,100,10,0,1,1,0,0,12.938,0,0,0,12.366,0,100,0,0,100,10,0,2,1,70,50,50,50,1,,43,1,,,0,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:45:28,2023-05-31 21:54:27,0,184.152.78.166,100,539,1,2023-05-31 21:54:28,R_3P6QNzjHBakYtYd,,,,,40.6955,-73.9667,anonymous,EN,1,2,2,65.448,65.448,66.731,1,17.83,17.83,19.495,1,96,9,96,3,7,1,1,40.625,40.625,41.993,1,11.922,11.922,13.001,1,98,5,18,98,3,7,1,1,4,0,0,0,2,,63,4,,,1,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:49:18,2023-05-31 21:55:15,0,24.13.23.215,100,357,1,2023-05-31 21:55:16,R_VWjjbHrwIBUT5dv,,,,,39.8616,-88.9355,anonymous,EN,1,2,2,0,0,22.951,0,0,0,12.287,0,96,41,100,53,59,1,1,3.624,3.624,12.101,1,12.304,12.304,13.102,1,100,5,36,100,43,38,2,1,10,46,20,57,2,,34,2,,,1,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:52:20,2023-05-31 21:58:02,0,71.88.11.142,100,341,1,2023-05-31 21:58:02,R_3dH579RlPJAdHvG,,,,,36.5686,-82.1819,anonymous,EN,1,2,2,0,0,14.302,0,0,0,13.007,0,99,1,90,51,51,1,1,0,0,21.527,0,0,0,12.313,0,99,0,1,90,49,51,2,1,50,40,40,30,1,,31,4,,,0,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:54:34,2023-05-31 21:59:43,0,75.245.2.125,100,308,1,2023-05-31 21:59:44,R_Z33qHDNp6Xi5fYB,,,,,40.6713,-73.8943,anonymous,EN,1,2,2,0,0,26.648,0,0,0,10.86,0,100,0,100,0,0,1,1,0,0,10.909,0,0,0,10.703,0,100,0,0,100,0,0,2,1,20,10,15,0,1,,31,4,,,1,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:55:10,2023-05-31 22:00:29,0,65.188.40.241,100,318,1,2023-05-31 22:00:29,R_1M4k2NqPzPEwv7x,,,,,33.9875,-81.0025,anonymous,EN,1,2,2,0,0,12.168,0,0,0,12.546,0,100,0,100,20,20,1,1,0,0,14.753,0,0,0,11.125,0,100,0,0,100,10,8,2,1,60,71,70,70,1,,57,4,,,0,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:55:12,2023-05-31 22:02:44,0,96.39.210.86,100,451,1,2023-05-31 22:02:45,R_3j1H2EGB4HBRgRA,,,,,32.3485,-97.3311,anonymous,EN,1,2,2,0,0,32.007,0,0,0,15.873,0,100,0,100,0,0,1,1,0,0,30.998,0,0,0,11.148,0,100,0,0,100,0,0,2,1,70,85,85,70,2,,50,4,,,1,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
2023-05-31 21:52:55,2023-05-31 22:05:54,0,96.3.183.198,100,779,1,2023-05-31 22:05:54,R_3lzacrbuXWbjNLP,,,,,46.8045,-100.7865,anonymous,EN,1,2,2,5.375,5.375,28.343,1,16.038,16.038,18.728,1,100,0,100,32,9,1,1,5.429,5.429,12.7,1,2.605,2.605,29.329,1,100,18,14,83,55,27,2,1,65,57,61,29,1,,36,5,,,1,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 22:02:17,2023-05-31 22:07:18,0,172.56.169.223,100,300,1,2023-05-31 22:07:18,R_6Gckgcda9eyNxRf,,,,,38.581,-121.4939,anonymous,EN,1,2,2,1.569,1.569,17.591,1,0,0,11.152,0,100,0,100,78,77,1,1,5.968,24.528,26.579,2,4.13,4.13,11.455,1,100,0,0,100,57,60,2,1,28,58,50,69,2,,38,4,,,0,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,Q90|vB_driver_liable|vA_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2023-05-31 21:48:08,2023-05-31 22:08:31,0,96.245.183.99,100,1222,1,2023-05-31 22:08:32,R_eEDdKHYbgWeNpDj,,,,,39.9544,-75.1657,anonymous,EN,1,2,2,0,0,11.507,0,0,0,10.914,0,100,0,100,20,10,1,1,0,0,10.797,0,0,0,17.362,0,100,0,0,100,10,0,2,1,70,40,40,40,1,,28,4,,,1,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid
