StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liab_AV_cnstr_1,vB_frm_liab_AV_cnstr_1,vA_cntrfctl_AV_cnstr_1,vB_cntrfctl_AV_cnstr_1,avoid_AV_cnstr_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liab_cnstr_1,vB_drivr_liab_cnstr_1,vB_frm_liab_cnstr_1,vA_cntrfctl_cnstr_1,vB_cntrfctl_cnstr_1,avoid_cnstr_1,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,vA_liab_AV_1,vB_frm_liab_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,Q242_First Click,Q242_Last Click,Q242_Page Submit,Q242_Click Count,vA_liab_1,vB_drivr_liab_1,vB_frm_liab_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,pol_affiliation_1,driving_ability_1,FL_4_DO,questions_1_AV_cnstr_DO,questions_2_AV_cnstr_DO,questions_1_cnstr_DO,questions_2_cnstr_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,moderators_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The driver of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):




How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: The driver of Vehicle A is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: The driver of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: The manufacturer of Vehicle B is liable for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):




How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):


How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,"What is your political affiliation? (0=Highly liberal, 50=Neither liberal nor conservative, 100=Highly conservative):","The following question is about fully autonomous self-driving cars, which are cars that are driven by a computer algorithm, and whose human occupants have no control of the vehicle.

Please rate the extent to which you agree with the following statement: 

How much do you agree: I am definitely a safer driver than a self-driving car.",FL_4 - Block Randomizer - Display Order,questions_1_AV_cnstr - Display Order,questions_2_AV_cnstr - Display Order,questions_1_cnstr - Display Order,questions_2_cnstr - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order,moderators - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID199_FIRST_CLICK""}","{""ImportId"":""QID199_LAST_CLICK""}","{""ImportId"":""QID199_PAGE_SUBMIT""}","{""ImportId"":""QID199_CLICK_COUNT""}","{""ImportId"":""QID201_FIRST_CLICK""}","{""ImportId"":""QID201_LAST_CLICK""}","{""ImportId"":""QID201_PAGE_SUBMIT""}","{""ImportId"":""QID201_CLICK_COUNT""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID214_FIRST_CLICK""}","{""ImportId"":""QID214_LAST_CLICK""}","{""ImportId"":""QID214_PAGE_SUBMIT""}","{""ImportId"":""QID214_CLICK_COUNT""}","{""ImportId"":""QID216_FIRST_CLICK""}","{""ImportId"":""QID216_LAST_CLICK""}","{""ImportId"":""QID216_PAGE_SUBMIT""}","{""ImportId"":""QID216_CLICK_COUNT""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID228_FIRST_CLICK""}","{""ImportId"":""QID228_LAST_CLICK""}","{""ImportId"":""QID228_PAGE_SUBMIT""}","{""ImportId"":""QID228_CLICK_COUNT""}","{""ImportId"":""QID230_FIRST_CLICK""}","{""ImportId"":""QID230_LAST_CLICK""}","{""ImportId"":""QID230_PAGE_SUBMIT""}","{""ImportId"":""QID230_CLICK_COUNT""}","{""ImportId"":""QID232_1""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID237_1""}","{""ImportId"":""QID240_FIRST_CLICK""}","{""ImportId"":""QID240_LAST_CLICK""}","{""ImportId"":""QID240_PAGE_SUBMIT""}","{""ImportId"":""QID240_CLICK_COUNT""}","{""ImportId"":""QID242_FIRST_CLICK""}","{""ImportId"":""QID242_LAST_CLICK""}","{""ImportId"":""QID242_PAGE_SUBMIT""}","{""ImportId"":""QID242_CLICK_COUNT""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID245_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID249_1""}","{""ImportId"":""QID250_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID218_1""}","{""ImportId"":""QID219_1""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_eEi5AkmXDuQVqAK_DO""}","{""ImportId"":""BL_cvGeqPyU6eYO754_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}","{""ImportId"":""BL_73QSVZQ8dOSCYOa_DO""}","{""ImportId"":""BL_0BoPCbztLJ68f9s_DO""}","{""ImportId"":""BL_eXswUQ7YPY7H8V0_DO""}","{""ImportId"":""BL_dimQa7pDPVrCVAa_DO""}","{""ImportId"":""BL_afoIdENE1rqnOfk_DO""}"
2023-04-29 11:09:02,2023-04-29 11:09:02,2,,100,0,1,2023-04-29 11:09:03,R_6gIYYDX7bjAjEJU,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:03,2023-04-29 11:09:03,2,,100,0,1,2023-04-29 11:09:03,R_6oiGqr0kYCvmqyy,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:03,2023-04-29 11:09:03,2,,100,0,1,2023-04-29 11:09:03,R_0fhLZteVGzBn6oC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:03,2023-04-29 11:09:03,2,,100,0,1,2023-04-29 11:09:04,R_8J5dy3EUU6bMhaC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:04,2023-04-29 11:09:04,2,,100,0,1,2023-04-29 11:09:04,R_e9Th5Rgvd0MCuy2,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:04,2023-04-29 11:09:04,2,,100,0,1,2023-04-29 11:09:05,R_bdA821Ab64xS7KC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:05,2023-04-29 11:09:05,2,,100,0,1,2023-04-29 11:09:05,R_dmV8zEk3jDsgrdk,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:05,2023-04-29 11:09:05,2,,100,0,1,2023-04-29 11:09:06,R_bKoQXFPs5cYwkqG,,,,,,,test,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,6.85,4.37,35,6.91,9.46,7.07,13,43,97,29,25,30,71,2,2,8,4,"Maecenas lacus. At, facilisi culpa. Platea id diam, facilisis vestibulum ut urna gravida? Sit orci.",Quis tempus dictumst lorem rhoncus mattis potenti! Felis amet natoque ultrices. Tortor pede.,2,,,,FL_58,,,,,,,Q243|vA_liab|vB_frm_liab|vB_drivr_liab,Q247|vB_cntrfctl|vA_cntrfctl|avoid,
2023-04-29 11:09:06,2023-04-29 11:09:06,2,,100,0,1,2023-04-29 11:09:06,R_brWqhUfOdeA3pWK,,,,,,,test,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:06,2023-04-29 11:09:06,2,,100,0,1,2023-04-29 11:09:06,R_01gg6sSbp38qc06,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-29 11:09:07,2023-04-29 11:09:07,2,,100,0,1,2023-04-29 11:09:07,R_e4L02thRNaQg87Q,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
