StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,Q219_First Click,Q219_Last Click,Q219_Page Submit,Q219_Click Count,vA_sue_AV_1,vB_mnfctr_sue_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q220_First Click,Q220_Last Click,Q220_Page Submit,Q220_Click Count,vA_sue_1,vB_mnfctr_sue_1,vB_driver_sue_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,cruise_familiarity,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,trust_scale_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",How much do you agree: I would be willing to let a self-driving car make important driving decisions without my involvement. - 1,"How much do you agree: If I were unable to monitor my driving activities, I would be willing to trust a self-driving car to get the job done right. - 1",How much do you agree: I trust a self-driving car to do things I can't do myself. - 1,How much do you agree: I trust a self-driving car to do things my vehicle can't do itself. - 1,How much do you agree: I generally do not trust a self-driving car. - 1,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Vehicle B is a fully autonomous self-driving car.



 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the pedestrian. - 1","Vehicle B is a fully autonomous self-driving car.



 

Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B to cover the costs of the serious injuries sustained by the pedestrian. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Vehicle B is a fully autonomous self-driving car.



 
Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):



How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 



How much do you agree: It would be reasonable to sue the driver of Vehicle A to cover the costs of the serious injuries sustained by the pedestrian. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the manufacturer of Vehicle B for the serious injuries sustained by pedestrian. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle B for the serious injuries sustained by pedestrian. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle A could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 



How much do you agree: When it comes to thinking about how the injury could have been avoided, it is relevant to consider what Vehicle B could have done differently. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 



How much do you agree: Vehicle B could have done more to avoid the accident. - 1",Which of the following was true about Vehicle B in the collision scenario of Section 2?,Which of the following was true about the scenario?,"When you read the scenario, did you recognize that it was describing a real incident involving the company Cruise?","Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,FL_4 - Block Randomizer - Display Order,trust_scale - Display Order,questions_1_AV - Display Order,questions_2_AV - Display Order,questions_1 - Display Order,questions_2 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID245_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID237_FIRST_CLICK""}","{""ImportId"":""QID237_LAST_CLICK""}","{""ImportId"":""QID237_PAGE_SUBMIT""}","{""ImportId"":""QID237_CLICK_COUNT""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID226_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID238_FIRST_CLICK""}","{""ImportId"":""QID238_LAST_CLICK""}","{""ImportId"":""QID238_PAGE_SUBMIT""}","{""ImportId"":""QID238_CLICK_COUNT""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID239""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""BL_basPWfJ50vvkyJ8_DO""}","{""ImportId"":""BL_eEi5AkmXDuQVqAK_DO""}","{""ImportId"":""BL_cvGeqPyU6eYO754_DO""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
2024-05-06 09:05:50,2024-05-06 09:05:50,2,,100,0,1,2024-05-06 09:05:50,R_87dqajkNOrW1ZpI,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:50,2024-05-06 09:05:50,2,,100,0,1,2024-05-06 09:05:51,R_cusxo7uCcaEVSWa,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:51,2024-05-06 09:05:51,2,,100,0,1,2024-05-06 09:05:51,R_erjcmqXaxeQvUbk,,,,,,,test,,1,2,2,26,32,68,93,64,,,,,,,,,,5.05,9.92,8.1,46,43,13,30,20,96,62,1,2,1,96,1,,Wisi et! Euismod! Vitae eu sed ac. Velit consequat duis primis ac. Posuere augue. Platea.,3,,FL_40,Q241|av_trust_4|av_trust_1|av_trust_3|av_trust_5|av_trust_2,,,Q90|vA_sue|vB_mnfctr_sue|vB_driver_sue,Q71|vA_cntrfctl|avoid|vB_cntrfctl
2024-05-06 09:05:51,2024-05-06 09:05:51,2,,100,0,1,2024-05-06 09:05:51,R_cI0LPa23izFkrL8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:51,2024-05-06 09:05:51,2,,100,0,1,2024-05-06 09:05:51,R_0IjZp6fo4czcRtY,,,,,,,test,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:52,2024-05-06 09:05:52,2,,100,0,1,2024-05-06 09:05:52,R_1S2NuNwWM2DdfP8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:52,2024-05-06 09:05:52,2,,100,0,1,2024-05-06 09:05:52,R_dirtAK7RZ6zuDv8,,,,,,,test,,1,2,2,50,9,82,46,38,6.28,6.71,9.18,44,15,55,97,59,77,,,,,,,,,,,1,2,2,73,3,,Mauris mauris ab integer vehicula dui. Pretium nec fusce nibh nonummy! Felis molestie.,6,,FL_39,Q241|av_trust_4|av_trust_2|av_trust_3|av_trust_1|av_trust_5,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|avoid_AV|vB_cntrfctl_AV,,
2024-05-06 09:05:52,2024-05-06 09:05:52,2,,100,0,1,2024-05-06 09:05:52,R_3kQgRbdA7JRbTim,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:52,2024-05-06 09:05:52,2,,100,0,1,2024-05-06 09:05:52,R_bOTfrV6Vr6v2tr8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:53,2024-05-06 09:05:53,2,,100,0,1,2024-05-06 09:05:53,R_eyP20oDB4PkLql0,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:53,2024-05-06 09:05:53,2,,100,0,1,2024-05-06 09:05:53,R_0e6CwneEwmBtOJg,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:53,2024-05-06 09:05:53,2,,100,0,1,2024-05-06 09:05:53,R_3kjT4CPrzZPkKeq,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:53,2024-05-06 09:05:53,2,,100,0,1,2024-05-06 09:05:53,R_eXPRkctEXh5yuFw,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:54,R_0jIpzu8l6hUaiJE,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:54,R_07Wcd3pAAvBNSrs,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:54,R_afSlwm4NWTCy182,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:54,R_8HYxFWF02l5cQw6,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:54,2024-05-06 09:05:54,2,,100,0,1,2024-05-06 09:05:55,R_eCzAXR0w0dP2LOe,,,,,,,test,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:55,2024-05-06 09:05:55,2,,100,0,1,2024-05-06 09:05:55,R_7WMDWGakRiEwL4O,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:55,2024-05-06 09:05:55,2,,100,0,1,2024-05-06 09:05:55,R_0W0FVCMZpMLI1kW,,,,,,,test,,1,2,2,85,7,50,32,87,,,,,,,,,,5.7,6.73,9.38,4,27,99,18,69,55,97,3,1,1,19,3,,"Duis, eget felis risus ut fermentum vehicula nibh vel vitae cursus a porttitor tellus fusce.",2,,FL_40,Q241|av_trust_1|av_trust_2|av_trust_3|av_trust_5|av_trust_4,,,Q90|vB_driver_sue|vA_sue|vB_mnfctr_sue,Q71|vB_cntrfctl|avoid|vA_cntrfctl
2024-05-06 09:05:55,2024-05-06 09:05:55,2,,100,0,1,2024-05-06 09:05:55,R_9v0WdJPGNOos96K,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_1AlYcLNqa830Qsu,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_3gGhjj4zs8pHylg,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_9N9u18MgXNOOqQS,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:56,R_b335Bs82pz8nnP8,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:56,2024-05-06 09:05:56,2,,100,0,1,2024-05-06 09:05:57,R_0jgSKb1DppTHKZM,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_0AsR6XI9ros1vwO,,,,,,,test,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_5BTtItvdwb6cH2u,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_dck1SsCFo0Ddv5I,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:57,2024-05-06 09:05:57,2,,100,0,1,2024-05-06 09:05:57,R_7Wja3oerpGCJ6MS,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_0Th2HyYyy77f6UC,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_ekYQF7fAzcSoDki,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_d6kg5CsjXnVYNeK,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:58,2,,100,0,1,2024-05-06 09:05:58,R_bse48cl4GqqsoNE,,,,,,,test,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:58,2024-05-06 09:05:59,2,,100,1,1,2024-05-06 09:05:59,R_1NtVAABaIAelz0y,,,,,,,test,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:05:59,R_egjnvFB1NWMf29E,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:05:59,R_8dB9Rkqtuz3WlkW,,,,,,,test,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06 09:05:59,2024-05-06 09:05:59,2,,100,0,1,2024-05-06 09:05:59,R_aVHN7m6A6o6m4K2,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
